Country,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Italy,1007158.391,1905770.7889999999,2288144.014,2400342.27,2542993.9,2743918.214,3188698.859,3754693.417,4235588.9569999995,4673476.199,5000903.458,5317374.811,5595003.880799999,5846989.0624,6142779.3973,6482554.83525,6861501.16515,7420438.69925,8228211.8655,9124270.93785,9945995.55855,10716101.814,11397160.15075,12128923.44215,12751545.83995,13317342.98595,14053387.4811,14968212.67415,16012138.55965,17147588.71075,18385506.20855,19616848.2071,20798971.2547,21896283.2959,22705944.8241,23560212.62935,24377308.1432,25129396.85355,26037673.90345
Kosovo,9995.784,18588.862,23798.345,24878.615999999998,26203.718,27649.493,34743.963,42450.119,47775.63,56705.157,62820.558,71244.329,80053.4552,85948.71485,92711.68295,98645.69075,106825.03115,117841.69625000001,140147.72825,164649.8552,177611.2673,189539.02265,198356.55935,211117.97165,223258.604,231802.0907,242306.5784,257202.81185,270839.417,285625.2146,306202.6778,326279.0642,340105.552,352673.91655,363070.2175,376052.5393,388911.52915,398378.9455,409522.54615
Latvia,35963.402,67794.649,88711.455,90781.279,93917.576,101554.671,120765.235,139642.406,158292.739,172962.319,183019.38999999998,194658.212,204146.8877,209113.4278,216342.77375,226041.3273,238671.08585,257383.6456,284091.7695,314316.5959,344739.4326,378113.507,409945.1012,442136.37285,467491.44735,489775.70155,514508.599,543713.7707999999,576264.2902,608858.0942,641232.8918,673723.80435,706350.24925,739416.42145,766716.0273,795480.87705,823077.4597,847275.20075,876531.3636
Liechtenstein,,,,,,,,,0.463,,,,,,,,,,,,,,,,,,,,,1.0363,,,,,,,,,
Lithuania,29319.047,57521.854999999996,76668.893,84453.343,90657.489,98500.42,115797.463,136487.787,153693.561,166369.77,174533.659,183004.805,190668.0351,197017.52985,205369.4494,215565.6908,227829.83305000002,247174.9402,273446.94985,300919.86325,327953.5945,357546.8841,384707.2559,411274.83520000003,433475.9378,454126.24445,481126.2589,513530.11245,550090.1099,585852.6661,620487.56745,654861.5503,688961.07435,724171.6922,750452.57355,775670.5632,801545.6245500001,825549.9792000001,853470.28755
Luxembourg,127532.766,250397.21600000001,382435.853,487184.279,605881.976,717203.871,840543.552,967391.452,1099180.107,1247043.187,1395666.22,1546532.255,1684994.37645,1814422.50325,1963761.06495,2109114.4587,2261385.13445,2400898.6863,2551909.62815,2705484.55445,2861462.3083,3030417.157,3194262.90455,3363077.50945,3526298.36735,3662652.7436,3830890.12255,3986296.495,4148263.20235,4307807.415,4474863.82325,4634049.0561,4789125.48855,4952335.8507,5110043.7378,5263386.7104,5390330.02895,5523575.2757,5674817.49935
Malta,33819.194,65670.744,86110.073,90071.024,94500.194,99667.554,116084.664,141788.217,162774.88400000002,179604.87900000002,190201.403,199150.525,206601.1922,212735.67535,220017.89740000002,228254.9573,238511.61975,259482.01,293987.15525,331454.9784,365910.3145,400257.3186,426322.3922,452811.6411,470161.29345,487298.2588,512986.15305,547927.41185,583785.0285,620969.95505,662888.4815,704119.9257,742851.6709499999,779909.32695,807897.21965,835842.6457,863474.7677,888744.3223,920619.6529
"Moldova, Republic Of",12769.194,23688.222999999998,29649.834,30852.578999999998,31976.425,35373.411,42104.195999999996,49119.528,55942.119,61881.474,65329.884,70728.87,75651.96975,79385.5784,84064.5818,89647.96615,97873.9673,111083.0373,129234.0852,148705.6009,165119.2837,179829.2833,191309.62915,204532.8462,216452.9871,223338.99135,225294.6968,231852.4459,240911.17915,254291.2591,270038.1315,287368.8232,306836.9108,324849.99945,341424.90505,357237.7639,372808.4115,385368.78585,396819.5302
Monaco,16.663,34.646,43.669,44.101,59.127,94.745,141.136,194.236,238.221,272.962,301.415,323.051,349.20545,375.4859,399.52985,432.37175,479.61545,540.97115,624.6152500000001,682.6729,724.92385,747.6133,762.8404,782.94135,800.9499,819.48765,840.3879000000001,871.5603,929.4384,972.2595,1020.7002,1071.50025,1108.056,1138.58265,1157.76615,1163.6157,1174.39185,1187.68485,1206.67305
Montenegro,5811.083,10925.394,14125.891,14493.439999999999,14854.529999999999,15918.385999999999,20964.186999999998,27895.3,33772.662,37018.417,38748.852,40482.844,41650.6316,42725.84685,44172.9663,45962.9228,49346.97175,57838.0686,73274.2483,90399.63870000001,102732.7568,108568.4215,112236.801,115698.2919,118548.99955000001,121287.71195,124981.7705,131037.4811,139348.7824,151577.20935,167377.0614,183111.22575,194826.47095,202546.89785,206648.9067,210743.90655,214924.17075,218665.3974,223420.56475
Netherlands,817635.4,1573378.787,2185368.5300000003,2440609.824,2797824.12,3210964.248,3751798.289,4349263.793,4904791.26,5471045.501,6006269.893,6553517.721,7074583.53335,7517835.4954,8017542.8056499995,8522437.1512,9054568.882199999,9616281.3554,10308978.05645,11036636.8156,11736370.2133,12473590.902449999,13145749.5727,13841205.2801,14497958.5693,15092770.3042,15786492.8831,16526035.6673,17341605.64105,18151153.46155,19006978.871799998,19862895.974,20685968.41655,21513286.7117,22229678.61085,22954654.69445,23671956.68865,24338071.73665,25104389.11565
North Macedonia,10462.922,19768.966,25331.912,25867.233,26270.456000000002,26488.48,33249.163,39608.072,44215.903,47967.363,51179.026,54671.229,58499.56735,61440.4932,65230.8894,69394.02075,74475.5976,82340.19025,95167.96695,108647.2895,119252.69255,128355.75955,135243.46675,144115.6591,151558.4476,156691.74185,164227.76025,174203.77695,185737.3881,199602.57525,214912.8501,230065.692,243710.7258,255075.78555,263361.5613,272676.80845,281284.75045,288710.1226,298115.34105
Norway,234018.624,464822.29000000004,636339.993,686159.921,747666.861,825555.0090000001,941353.279,1064013.912,1190842.133,1311157.452,1413560.312,1513122.8460000001,1603034.6825,1676016.88235,1761574.2267500001,1842984.80925,1926288.5261000001,2027138.38805,2169578.3581,2322215.09495,2483714.88265,2659553.0932,2835143.921,3010940.93275,3155649.34895,3291630.9314,3469976.9293,3671550.4804000002,3894066.1814,4132344.3801,4369849.5712,4623328.236,4862043.62755,5098301.8143,5294196.2766,5479763.4682,5659345.85185,5827873.89105,6032904.527
Poland,251641.754,481739.94299999997,613505.544,631158.907,653901.059,687138.306,802593.066,952660.916,1073558.5219999999,1176211.179,1239250.445,1310831.696,1374184.1119,1419622.51245,1482672.19935,1556685.2958,1644799.2532,1805468.6553,2026572.86195,2263022.52875,2487688.4566,2684344.77215,2861063.3304,3053535.64815,3216695.4579,3367977.1279,3580607.68095,3804908.2864,4061167.68255,4348789.5023,4659108.32355,4973571.808,5266816.60245,5547585.7942,5768453.8991,6004522.1551,6236311.0714,6447970.48655,6709781.5288
Portugal,373186.365,726464.056,975560.9809999999,1002045.314,1038910.945,1093090.6199999999,1239260.353,1454456.751,1651772.652,1837934.04,1964411.921,2106537.077,2223150.17465,2287683.6754,2369742.2095,2486655.91305,2651425.9823,2870759.82195,3165717.13345,3499599.4878,3814062.2341,4143919.8334,4427483.35195,4725379.36555,4987462.6643,5227956.7555,5537304.6744,5938646.6284,6368930.78965,6818930.1295,7304803.2102,7795843.79595,8258070.79255,8712153.9902,9062868.3283,9426636.6345,9785637.8084,10116556.15165,10507396.463849999
Romania,108893.537,208577.832,278789.954,296341.497,309389.643,328433.832,388553.859,459953.295,521714.247,571979.374,598479.831,635026.3640000001,672382.5975,699771.35795,733227.58255,781220.10285,840920.7504,924546.05715,1032806.35205,1149825.06455,1258564.9752,1354005.2011,1427574.4647,1516204.778,1590930.67005,1653293.76715,1754010.2397,1873590.01775,1995379.9543,2120557.7535,2254640.8132,2390991.9779,2507738.63165,2618252.5256,2714038.7105,2816587.10085,2920020.40745,3010737.6409,3115795.94955
Serbia,31231.851,59291.255,77571.428,84844.08499999999,91342.65699999999,101875.753,121046.306,141957.707,160656.406,181311.45,199518.239,214705.5,228065.1139,243807.72580000001,258331.22830000002,277410.22615,302337.801,332148.13555,376174.942,420501.5818,455972.50215,487871.0587,513940.89385,541025.2923,565877.9789,587025.2112499999,612273.57495,643347.4011,677582.6986,716971.20075,763057.7922499999,809535.16245,851694.6843,888563.72575,919115.253,954731.87905,988369.3048,1017944.0213,1051784.4807
Slovakia,9986.675,19757.241,25092.751,27356.606,29146.843,31089.612,34739.376000000004,41265.809,46246.104,50418.049,53170.358,56340.81,59375.11355,62015.3327,64709.66395,66248.78215,68788.5221,74665.893,84402.58425,95569.09775,104565.4474,112360.50215,118793.2968,126297.8148,131478.4618,137139.8882,145702.9907,154711.9951,166373.69875,182944.5819,203563.6761,224282.64595,240446.11975,250623.61645,258005.27545000002,265265.57195,272156.19515,279104.58640000003,287801.6251
Slovenia,5720.475,11327.878,14996.539,17785.510000000002,19295.495,20924.294,23567.85,26609.885000000002,29160.977,31047.734,32514.936,34286.54,35984.9877,38105.12455,40027.9827,42077.05925,44959.65335,49051.0843,55367.8299,61469.6411,67263.63115,73098.0864,77618.6187,82576.24535,87102.6897,91205.8352,96060.75195,102736.48,109801.9318,117752.6904,126940.7299,135600.2564,144118.8514,150960.29725,156161.29845,161379.62565,166529.94075,171588.4917,178072.5939
Spain,1215132.729,2358215.014,3128330.995,3260287.431,3437191.596,3608162.735,4136603.6,4834088.507,5365362.903,5840088.174,6200491.296,6624632.082,6991497.8604,7302035.2723,7672847.21235,8097586.5327,8616692.58095,9342110.83985,10444838.9011,11617275.0725,12716214.15885,13828987.867899999,14724142.48015,15691960.35205,16531784.80435,17328672.35405,18325724.2185,19605837.7964,21022428.2993,22492183.57845,24099010.6366,25697601.1565,27179041.42325,28629560.15925,29721599.2076,30845860.63195,31909959.2128,32904732.9864,34108765.6379
Sweden,242394.506,471720.631,643377.041,666574.383,693612.148,725394.471,782690.05,854554.138,926874.337,1002622.78,1062932.428,1122096.251,1175515.68935,1219620.56275,1270670.37905,1323400.7836,1382499.32095,1466197.75615,1586835.11825,1711310.61665,1838933.4575,1975920.0107,2118887.6133499998,2280300.5272,2424462.73275,2546772.5528,2696361.9370999997,2873383.0071,3063853.0907,3268413.97735,3466777.42395,3674495.5874,3877069.51835,4074198.20055,4245142.94015,4420429.5034,4589108.3017,4747050.0068,4931044.7064
Switzerland,469900.451,899887.416,1176617.192,1223499.8630000001,1296326.635,1380924.9710000001,1532889.715,1702917.548,1855263.879,2006776.524,2127662.024,2267072.916,2397071.9077500002,2514694.3675,2645990.9488,2793329.6423,2952124.3463,3123924.6695499998,3387005.1229,3667964.7025,3930602.5507,4223821.03615,4482052.41555,4773419.89295,5060368.15945,5322817.14315,5638943.22525,5979604.70195,6333668.83085,6703347.2232,7134514.961,7557164.0504,7953408.9705,8364116.0803,8720576.672,9109866.82725,9494828.95025,9850197.9061,10255999.9415
Türkiye,1127832.285,2140993.0719999997,2833657.65,2964286.052,3151371.667,3500060.9699999997,4066610.848,4848931.667,5647215.551,6438144.871,7061206.248,7652521.353,8246764.01595,8789588.8276,9474739.26165,10186658.1537,10864210.73515,11797611.90145,13162223.228,14576740.08785,15877548.5351,17210855.24505,18189420.39765,19150305.4614,20038708.6804,20865249.61775,21825780.07385,22936685.11565,24295478.0425,25832420.4601,27566588.42375,29330846.40665,30942590.9064,32456363.3409,33637328.862,34793577.01825,35988522.821,37121419.34595,38379732.6849
United Kingdom,2748923.227,5294313.541999999,7273090.811,7683882.256,8246458.816,8861397.695,9723474.134,10845257.893,11974847.244,13088964.417,13987402.27,14983683.865,15749298.18705,16382201.509,17144944.4456,17899309.6714,18710647.45795,19656206.74765,20802502.44045,22204269.6643,23723359.63485,25413368.63515,27016994.5346,28820530.14165,30417934.28335,31940480.087,33848136.6806,36043057.949599996,38555666.54355,41169546.79665,43922539.531,46666488.16265,49308856.102,51922297.1427,54152665.2376,56503357.5608,58810516.08615,60966594.10345,63457711.62705
